amenity_id,category,amenity,area,status,photo_verified,platform_listed,owner,notes
AM-001,Living Room,Sectional seating and TV,Great Room,Planned,No,No,Owner,
AM-002,Kitchen,Extended bar seating (4 stools),Kitchen,Planned,No,No,Owner,
AM-003,Kitchen,Dining table seating (6-8),Kitchen and Dining,Planned,No,No,Owner,
AM-004,Kitchen,Coffee maker and mug setup,Kitchen,Planned,No,No,Owner,
AM-005,Kitchen,Electric kettle,Kitchen,Planned,No,No,Owner,
AM-006,Kitchen,Toaster,Kitchen,Planned,No,No,Owner,
AM-007,Kitchen,Blender,Kitchen,Planned,No,No,Owner,
AM-008,Kitchen,Cooking essentials starter set,Kitchen,Planned,No,No,Owner,
AM-009,Bedroom,King bed,Primary Bedroom,Planned,No,No,Owner,
AM-010,Bedroom,Bunk configuration,Secondary Bedroom #1,Planned,No,No,Owner,
AM-011,Bedroom,Bunk configuration,Secondary Bedroom #2,Planned,No,No,Owner,
AM-012,Workspace,Desk and chair setup,Den,Planned,No,No,Owner,
AM-013,Entertainment,Den TV/media setup,Den,Planned,No,No,Owner,
AM-014,Outdoor,Covered patio lounge seating,Covered Patio,Planned,No,No,Owner,
AM-015,Outdoor,Fire pit,Covered Patio,Planned,No,No,Owner,
AM-016,Outdoor,Outdoor dining setup,Covered Patio,Planned,No,No,Owner,
AM-017,Outdoor,Grill,Covered Patio,Planned,No,No,Owner,
AM-018,Outdoor,String lighting ambience,Covered Patio,Planned,No,No,Owner,
