section_id,section_name,item_count,strategic_focus,est_cost_value_tier,actual_spend,variance,status,last_updated,roi_priority
SEC-01,Primary Bedroom,17,Premium Sleep / Retreat,3469,0,3469,pending,4/3/2026,high
SEC-02,Bedroom #2,9,High-Occupancy Bunks,1486,0,1486,pending,4/3/2026,high
SEC-03,Bedroom #3,9,High-Occupancy Bunks,1486,0,1486,pending,4/3/2026,high
SEC-04,Den Conversion,7,Hybrid 4th Bedroom,1661,0,1661,sourcing,4/3/2026,high
SEC-05,Great Room,13,Group Gathering Hub,3875,0,3875,sourcing,4/3/2026,high
SEC-06,Kitchen & Dining,27,142in Social Island,3244,0,3244,sourcing,4/3/2026,high
SEC-07,Outdoor Space,12,Texas Sunset Glow,2090,0,2090,pending,4/3/2026,high
SEC-08,Primary Bathroom,9,Spa-Like Luxury,393,0,393,pending,4/3/2026,med
SEC-09,Secondary Bathroom,9,Family Efficiency,368,0,368,pending,4/3/2026,med
SEC-10,Hallway & Entry,9,158in Stiletto Shot,929,0,929,pending,4/3/2026,med
TOTAL,Property Rollup,121,Design & Furnishing Launch,19001,0,19001,ACTIVE,4/3/2026,CRITICAL
