Item_ID,Item_Name,Tier,Description,Qty,Est_Cost,Actual_Cost,Status,Condition,Measurements_Verified,Assembly_Required,Notes
PR-002,Counter Bar Stools,Value,,1,TBD,TBD,Sourcing,TBD,No,No,Lead active
PR-007,Dining Table,Value,,1,TBD,UNKNOWN,Delivered,Used,No,No,Self-transport from Estate Sale
PR-KITCH-01,Bar Stools with Backs,Value,,1,TBD,TBD,Planned,TBD,No,No,
PR-KITCH-04,Coffee Bar Machine,Value,,1,TBD,TBD,Planned,TBD,No,No,
PR-KITCH-05,Island Pendants,Value,,1,TBD,TBD,Planned,TBD,No,Yes,
PR-KITCH-06,Cookware Set,Value,,1,TBD,TBD,Planned,TBD,No,No,
PR-KITCH-07,Under-Cabinet Lighting,Value,,1,TBD,TBD,Planned,TBD,No,Yes,
PR-KITCH-08,Knife Set,Value,,1,TBD,TBD,Planned,TBD,No,No,
PR-KITCH-11,Ninja Blender,Value,,1,TBD,TBD,Planned,TBD,No,No,
PR-KITCH-12,Air Fryer,Value,,1,TBD,TBD,Planned,TBD,No,No,
PR-KITCH-15,Dual-Bin Trash/Recycling,Value,,1,TBD,TBD,Planned,TBD,No,No,
PR-KITCH-16,Plates (Set of 12),Value,,1,TBD,TBD,Planned,TBD,No,No,
PR-KITCH-20,Silverware (Set of 12),Value,,1,TBD,TBD,Planned,TBD,No,No,
PR-KITCH-25,Toaster,Value,,1,TBD,TBD,Planned,TBD,No,No,
PR-KITCH-26,Kettle,Value,,1,TBD,TBD,Planned,TBD,No,No,
