listing_name,listing_url,neighborhood,dist_airport_min,dist_cota_min,dist_dt_min,bedrooms,bathrooms,max_occupancy,base_weekday_price,base_weekend_price,cleaning_fee,min_stay,total_est_nightly_price,rating,review_count,guest_favorite,superhost,hot_tub,pool,game_room,office_workspace,ev_charger,coffee_bar,outdoor_lounge,smart_tvs_bedrooms,high_end_kitchen,pet_friendly,theme,primary_target_guest,revenue_hook
The Easton Park Social Hub,Search Easton Park Social Hub,Easton Park,15,12,15,3,2,8,285,365,195,2,325,4.95,50,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Social Hub,Groups,10ft Social Island + Zero-Chore Checkout
Goodnight Ranch Den-Conversion,Search Goodnight Ranch Den Conversion,Goodnight Ranch,10,12,15,4,2.5,10,325,450,225,2,385,4.93,40,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Family,Families,Converted Den Sleeps 10 + 2.5BA
The "Stiletto" Style Rental,Search SE Austin Stiletto Modern,Goodnight Ranch,10,8,15,4,2,8,400,400,250,4,450,4.98,60,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Modern,Event Travelers,150ft Hallway Stiletto Shot + Airport/COTA speed
The 78744 Outdoor Oasis,Search SE Austin Outdoor Oasis,SE Austin,10,12,15,4,2,10,350,475,225,2,425,4.95,100,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Hybrid,Families,Cowboy Pool + Fire Pit + Pet Paradise
Easton Park Designer Retreat,Search Easton Park Designer Retreat,Easton Park,10,12,15,4,2.5,10,425,575,250,3,550,4.98,30,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Luxury,Groups,The Union Pool Access + Vogue Interior + Aesop
Business & Corporate Retreat,Search Reserve McKinney Falls Business,Reserve at McKinney Falls,10,12,15,4,2.5,10,200,350,200,2,275,4.92,40,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Minimalist,Remote Workers,27" iMac + Google Fiber + McKinney access
High-Occupancy Family Haven,Search Tiermo High Occupancy Family,Tiermo,15,15,20,4,2,10,180,300,220,2,250,4.92,26,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Family,Families,7 True Beds + Tesla Proximity
Luxury Single-Level Social Hub,Search Easton Park Single Level Luxe,Easton Park,10,12,15,4,2.5,10,250,400,200,2,325,5.0,15,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Luxury,Families,5.0 Cleanliness + No Stairs + Gaming Zone
Mid-Term & Executive Launchpad,Search SE Austin Executive MTR,SE Austin,10,15,20,3,2.5,8,185,300,185,3,240,4.87,80,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,Minimalist,Remote Workers,2.5 Bathrooms + 10m to Airport + Stability
Modern COTA / Tesla Gateway,Search Tiermo COTA Tesla Gateway,Tiermo,10,15,20,4,2,10,250,450,200,3,350,4.90,30,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Modern,Event Travelers,5m to Tesla + Group Efficiency
The Digital Nomad Hub,Search Easton Park Digital Nomad Hub,Easton Park,10,15,15,3,2,6,245,325,175,30,285,4.96,40,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Minimalist,Remote Workers,Standing Desk + 1Gbps Fiber + Monthly Disc
The "Step-Free" Access Leader,Search SE Austin Step Free Access,SE Austin,10,12,15,3,2,8,295,450,195,2,350,4.94,50,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Hybrid,Families,No Stairs + Walk-in Shower + 42" Paths
The High-Review Legacy Comp,Search 78744 High Review Legacy,SE Austin,10,12,15,3,2,8,215,325,185,2,275,4.98,200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Modern,Mixed,200+ Reviews + Fully Stocked Pantry
The Mid-Term "Relo" Specialist,Search 78744 Relocation Specialist,SE Austin,10,12,15,4,2,10,185,185,250,28,200,4.92,25,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Family,Families,Zero Vacancy Strategy + 100% Kid Proof
The "Austin Local" Experience,Search 78744 Authentic Austin Local,SE Austin,10,12,15,3,2,8,315,550,185,2,380,4.97,45,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Social Hub,Event Travelers,Custom Guidebook + Local Sample Bar + Mural
