Procurement_ID,Item_Name,Order_Status,Order_Date,Expected_Delivery,Actual_Delivery,Cost,Carrier,Tracking_Number,Notes
PR-003,Solid Wood King Frame,Selected,,,,,,Lead active
PR-004,King Mattress,Needed,,,,,,Compare Hybrid options
PR-PRIM-03,55in 4K Smart TV,Planned,,,,,,
PR-PRIM-04,Solid Wood Dresser,Planned,,,,,,
PR-PRIM-05,Accent Chairs,Planned,,,,,,
PR-PRIM-06,Nightstands,Planned,,,,,,
PR-PRIM-07,Hospitality Linens (Set 1),Planned,,,,,,
PR-PRIM-08,Hospitality Linens (Set 2),Planned,,,,,,
PR-PRIM-09,USB/Lamp System,Planned,,,,,,
PR-PRIM-10,Blackout Curtains,Planned,,,,,,
PR-PRIM-11,Area Rug (8x10),Planned,,,,,,
PR-PRIM-12,Full-Length Mirror,Planned,,,,,,
PR-PRIM-13,Luggage Rack (1),Planned,,,,,,
PR-PRIM-14,Luggage Rack (2),Planned,,,,,,
PR-PRIM-15,Pillows (Set),Planned,,,,,,
PR-PRIM-16,Duvet Insert,Planned,,,,,,
PR-PRIM-17,Decorative Throw,Planned,,,,,,
