item_id,item_name,tier,option_label,description,source_vendor,est_cost,qty,priority,is_selected,purchase_status,notes
BUD-001-GRT-01,Large Sectional Sofa,budget,Option 1,Marketplace 6-8 seat,fb_marketplace,800,1,high,FALSE,sourcing,$500-$1100 range
BUD-001-GRT-01,Large Sectional Sofa,budget,Option 2,ReStore closeout,restore,775,1,high,FALSE,sourcing,$450-$1100 range
BUD-001-GRT-01,Large Sectional Sofa,value,Option 1,IKEA FINNALA modular,ikea,1250,1,high,TRUE,pending,
BUD-001-GRT-01,Large Sectional Sofa,value,Option 2,IKEA KIVIK 6-seat,ikea,2249,1,high,FALSE,pending,
BUD-001-GRT-01,Large Sectional Sofa,premium,Option 1,Article Sectional,article,2500,1,high,FALSE,pending,$2000-$3000 range
BUD-001-GRT-01,Large Sectional Sofa,premium,Option 2,C&B/CB2,crate_and_barrel,2950,1,high,FALSE,pending,$2400-$3500 range
BUD-001-GRT-02,65in 4K Smart TV,budget,Option 1,Samsung Q8F QLED,best_buy,600,1,high,FALSE,pending,
BUD-001-GRT-02,65in 4K Smart TV,budget,Option 2,Roku Select QLED,best_buy,650,1,high,FALSE,pending,
BUD-001-GRT-02,65in 4K Smart TV,value,Option 1,Mini-LED segment,best_buy,775,1,high,TRUE,pending,$650-$900 range
BUD-001-GRT-02,65in 4K Smart TV,value,Option 2,Costco segment,costco,775,1,high,FALSE,pending,$600-$950 range
BUD-001-GRT-02,65in 4K Smart TV,premium,Option 1,LG G6 OLED,best_buy,1500,1,high,FALSE,pending,
BUD-001-GRT-02,65in 4K Smart TV,premium,Option 2,Samsung Frame-class,best_buy,1650,1,high,FALSE,pending,$1300-$2000 range
BUD-001-GRT-03,Area Rug 10x14,budget,Option 1,Marketplace oversized,fb_marketplace,265,1,high,FALSE,sourcing,$180-$350 range
BUD-001-GRT-03,Area Rug 10x14,budget,Option 2,IKEA large rug,ikea,300,1,high,FALSE,pending,$200-$400 range
BUD-001-GRT-03,Area Rug 10x14,value,Option 1,Rugs.com easy-clean,rugs_dot_com,350,1,high,TRUE,pending,
BUD-001-GRT-03,Area Rug 10x14,value,Option 2,Wayfair low-pile,wayfair,450,1,high,FALSE,pending,
BUD-001-GRT-03,Area Rug 10x14,premium,Option 1,Ruggable oversized,ruggable,825,1,high,FALSE,pending,$650-$1000 range
BUD-001-GRT-03,Area Rug 10x14,premium,Option 2,West Elm wool,west_elm,1050,1,high,FALSE,pending,$700-$1400 range
BUD-001-GRT-04,Media Console (80in),budget,Option 1,Local long console,fb_marketplace,160,1,med,FALSE,sourcing,$100-$220 range
BUD-001-GRT-04,Media Console (80in),budget,Option 2,Walmart 70-80in,walmart,185,1,med,FALSE,pending,$120-$250 range
