Procurement_ID,Item_Name,Order_Status,Order_Date,Expected_Delivery,Actual_Delivery,Cost,Carrier,Tracking_Number,Notes
PR-002,Counter Bar Stools,Selected,,,,,,Lead active
PR-007,Dining Table,Delivered,,,2026-04-04,UNKNOWN,Owner Pickup,N/A,Self-transport from Estate Sale
PR-KITCH-01,Bar Stools with Backs,Planned,,,,,,
PR-KITCH-04,Coffee Bar Machine,Planned,,,,,,
PR-KITCH-05,Island Pendants,Planned,,,,,,
PR-KITCH-06,Cookware Set,Planned,,,,,,
PR-KITCH-07,Under-Cabinet Lighting,Planned,,,,,,
PR-KITCH-08,Knife Set,Planned,,,,,,
PR-KITCH-11,Ninja Blender,Planned,,,,,,
PR-KITCH-12,Air Fryer,Planned,,,,,,
PR-KITCH-15,Dual-Bin Trash/Recycling,Planned,,,,,,
PR-KITCH-16,Plates (Set of 12),Planned,,,,,,
PR-KITCH-20,Silverware (Set of 12),Planned,,,,,,
PR-KITCH-25,Toaster,Planned,,,,,,
PR-KITCH-26,Kettle,Planned,,,,,,
