Procurement_ID,Item_Name,Order_Status,Order_Date,Expected_Delivery,Actual_Delivery,Cost,Carrier,Tracking_Number,Notes
PR-OUT-01,Patio Seating Group,Planned,,,,,,
PR-OUT-02,Fire Feature,Planned,,,,,,
PR-OUT-03,String Lights (Pkg),Planned,,,,,,
PR-OUT-04,Outdoor Dining Table,Sourcing,,,,,,
PR-OUT-05,Outdoor Rug,Planned,,,,,,
PR-OUT-06,Propane BBQ Grill,Sourcing,,,,,,
PR-OUT-07,Patio Blinds / Shade,Planned,,,,,,
PR-OUT-08,Outdoor Yard Games,Planned,,,,,,
PR-OUT-09,Outdoor Storage Box,Planned,,,,,,
PR-OUT-10,Potted Plant (1),Planned,,,,,,
PR-OUT-11,Potted Plant (2),Planned,,,,,,
PR-OUT-12,Potted Plant (3),Planned,,,,,,
