keyword_id,keyword,keyword_type,intent,priority,where_to_use,current_used,target_usage_count,status,owner,notes
KW-001,austin airbnb,Primary,General discovery,High,Title and first paragraph,Yes,2,In Use,Owner,Core visibility term
KW-002,south austin rental,Primary,Location-specific search,High,Title and summary,Yes,2,In Use,Owner,Neighborhood targeting
KW-003,3 bedroom austin airbnb,Primary,Beds and size intent,High,Summary and sleeping section,Yes,2,In Use,Owner,Matches family/group query intent
KW-004,austin vacation rental with patio,Primary,Amenity-led discovery,High,Title and amenities section,Yes,2,In Use,Owner,Supports patio hero photo
KW-005,austin rental with fire pit,Primary,Amenity-led discovery,High,Summary and patio caption,Yes,2,In Use,Owner,High click potential
KW-006,family friendly austin stay,Secondary,Family travel intent,Medium,Good Fit For section,Yes,1,In Use,Owner,Do not overuse
KW-007,group stay austin,Secondary,Group booking intent,Medium,Summary and good fit,Yes,1,In Use,Owner,
KW-008,work friendly austin rental,Secondary,Remote work intent,Medium,Den section and amenities,Yes,1,In Use,Owner,
KW-009,austin home with den,Secondary,Layout-specific intent,Medium,Title option and The Space,Yes,1,In Use,Owner,
KW-010,covered patio austin rental,Secondary,Outdoor feature search,Medium,Patio section and captions,Yes,1,In Use,Owner,
KW-011,austin weekend getaway,Secondary,Leisure trip intent,Medium,Good Fit For and summary,Yes,1,In Use,Owner,
KW-012,near downtown austin stay,Secondary,Proximity intent,Medium,Location paragraph (if accurate),No,1,Planned,Owner,Use only if truthful
KW-013,austin kitchen and dining rental,Long-tail,Space-use intent,Low,Kitchen paragraph,Yes,1,In Use,Owner,
KW-014,austin patio evening vibes,Long-tail,Experience intent,Low,Photo captions and patio copy,Yes,1,In Use,Owner,
KW-015,austin stays for families and friends,Long-tail,Audience intent,Low,Summary ending line,Yes,1,In Use,Owner,
