"record_id","category","priority","theme","area","item","qty","spec_summary","finish_color","dimensions_in","vendor","product_url","sku_model","unit_budget_usd","budget_band","status","owner","order_date","target_delivery_date","actual_delivery_date","lead_time_days","return_window_days","replacement_option","staging_pass","install_zone","photo_critical","notes"
"1","Art","High","Hill Country Retreat","Master Bedroom","Large Hill Country landscape or Austin skyline-at-dusk canvas","1","Framed, muted palette focal piece","Limestone/taupe","W 48-60","To Source","TBD","TBD","450","$$$","Planned","Owner","","","","","30","Large framed print alternate","Anchor","Focal wall","Yes","Primary visual anchor for room identity"
"2","Textiles","High","Hill Country Retreat","Master Bedroom","Hotel-grade linen bedding set","2","White/cream set for turnover rotation","White/cream","King set","To Source","TBD","TBD","220","$$","Planned","Owner","","","","","30","Equivalent hotel-grade set","Comfort","Bed zone","Yes","Rotation set reduces turnover friction"
"3","Lighting","High","Hill Country Retreat","Master Bedroom","Warm dimmable bedside lamp/sconce with charging","2","2700K, dimmable, USB-C or USB-A","Matte black","Standard bedside","To Source","TBD","TBD","95","$$","Planned","Owner","","","","","30","Alternate matching fixture","Functional","Bedside left/right","No","Maintain bilateral symmetry"
"4","Decor","Medium","Hill Country Retreat","Master Bedroom","Minimal wood/stone accent object set","1","Two to three pieces max","Wood/stone neutral","N/A","To Source","TBD","TBD","75","$","Planned","Owner","","","","","30","Simple ceramic set","Style","Dresser top","No","Do not exceed decor cap"
"5","Art","High","South Congress Studio","Secondary Bedroom #1","South Congress streetscape focal print","1","Single confident statement piece","Burnt orange or deep teal accent","W 30-40","To Source","TBD","TBD","220","$$","Planned","Owner","","","","","30","Alternate city-scene print","Anchor","Primary focal wall","Yes","Choose one accent family only"
"6","Textiles","Medium","South Congress Studio","Secondary Bedroom #1","Accent pillow and throw set","1","Single accent family only","Burnt orange or deep teal","Queen/full compatible","To Source","TBD","TBD","60","$","Planned","Owner","","","","","30","Neutral backup set","Comfort","Bed zone","No","No mixed accent families"
"7","Lighting","High","South Congress Studio","Secondary Bedroom #1","Swing-arm bedside sconces","2","Space-saving bedside lighting","Matte black","Standard bedside reach","To Source","TBD","TBD","85","$$","Planned","Owner","","","","","30","Plug-in sconce alternative","Functional","Bedside left/right","No","Keep surfaces clear"
"8","Decor","High","South Congress Studio","Secondary Bedroom #1","Slim floating nightstands","2","Narrow profile to preserve circulation","Wood + black","Narrow depth","To Source","TBD","TBD","140","$$","Planned","Owner","","","","","30","Compact pedestal stand","Functional","Bedside left/right","No","Walkway preservation item"
"9","Art","High","Barton Springs Calm","Secondary Bedroom #2","Water-inspired Austin print pair","2","Vertical paired composition","Blue-grey/seafoam family","Vertical pair","To Source","TBD","TBD","180","$$","Planned","Owner","","","","","30","Single large water print","Anchor","Focal wall pair","Yes","Must contrast with Bedroom #1"
"10","Textiles","Medium","Barton Springs Calm","Secondary Bedroom #2","Cool-toned bedding accent kit","1","Pale seafoam or driftwood accents","Blue-grey/seafoam","Queen/full compatible","To Source","TBD","TBD","60","$","Planned","Owner","","","","","30","Neutral backup set","Comfort","Bed zone","No","Keep visual mood calm and light"
"11","Lighting","High","Barton Springs Calm","Secondary Bedroom #2","Swing-arm bedside sconces","2","Bedside directional lighting","Brushed brass","Standard bedside reach","To Source","TBD","TBD","95","$$","Planned","Owner","","","","","30","Matte black fallback","Functional","Bedside left/right","No","Only room permitting brass finish"
"12","Decor","Medium","Barton Springs Calm","Secondary Bedroom #2","Low-profile storage bench","1","Foot-of-bed narrow bench","Driftwood neutral","Narrow bench","To Source","TBD","TBD","130","$$","Planned","Owner","","","","","30","Ottoman fallback","Style","Foot-of-bed","No","Use one end piece only"
"13","Art","High","Live Oak Creative Lounge","Den","Austin music-culture print + local map/architecture piece","2","Pair reads well on camera","Neutral with charcoal","Mixed pair","To Source","TBD","TBD","240","$$","Planned","Owner","","","","","30","Single triptych option","Anchor","Primary wall composition","Yes","Video-call and listing critical"
"14","Acoustic","High","Live Oak Creative Lounge","Den","Acoustic panel or slat treatment","1","Sound control and visual texture","Oak or neutral fabric","Wall coverage segment","To Source","TBD","TBD","380","$$$","Planned","Owner","","","","","30","Acoustic curtain solution","Functional","Work/media wall","No","Improves guest comfort and call quality"
"15","Lighting","High","Live Oak Creative Lounge","Den","Smart bulbs/scenes kit","1","Work mode 4000K, movie mode 2200K","Tunable white","Bulb pack","To Source","TBD","TBD","90","$$","Planned","Owner","","","","","30","Manual two-lamp fallback","Functional","Lamps/main fixture","No","Must support one-button mode switching"
"16","Work Setup","High","Live Oak Creative Lounge","Den","Desk tech tray kit","1","Dock, lamp, USB-C + HDMI spare","Black/neutral","Desk accessory kit","To Source","TBD","TBD","120","$$","Planned","Owner","","","","","30","Basic cable kit only","Functional","Desk zone","No","Supports digital nomad positioning"
"17","Art","Medium","Texas Sunset Social Deck","Covered Patio","Outdoor-safe Austin skyline/wildflower panel","1","UV-rated exterior focal art","Terracotta/sand accent","Outdoor panel size","To Source","TBD","TBD","160","$$","Planned","Owner","","","","","30","Metal wall art alternate","Anchor","Primary patio wall","Yes","Patio identity anchor for evening photos"
"18","Textiles","High","Texas Sunset Social Deck","Covered Patio","Outdoor cushions + throw pillows","1","Conversation-zone comfort set","Terracotta/sand/cactus","Seat set","To Source","TBD","TBD","180","$$","Planned","Owner","","","","","30","Neutral weatherproof set","Comfort","Main seating","No","Quick-dry fabric only"
"19","Lighting","High","Texas Sunset Social Deck","Covered Patio","Warm string/lantern lighting","1","Outdoor-rated ambient lighting","Warm white","Perimeter run","To Source","TBD","TBD","110","$$","Planned","Owner","","","","","30","Solar lantern mix","Functional","Perimeter overhead","Yes","Key for night ambience and photos"
"20","Decor","Medium","Texas Sunset Social Deck","Covered Patio","Mixed-height planters with greenery","3","Low-maintenance species mix","Natural greens","Small/medium/tall mix","To Source","TBD","TBD","45","$$","Planned","Owner","","","","","30","Faux UV-rated planter set","Style","Patio perimeter","No","Softens hard edges without clutter"
