Item_ID,Item_Name,Tier,Description,Qty,Est_Cost,Actual_Cost,Status,Condition,Measurements_Verified,Assembly_Required,Notes
PR-OUT-01,Patio Seating Group,Value,,1,TBD,TBD,Planned,TBD,No,Yes,
PR-OUT-02,Fire Feature,Value,,1,TBD,TBD,Planned,TBD,No,Yes,
PR-OUT-03,String Lights (Pkg),Value,,1,TBD,TBD,Planned,TBD,No,No,
PR-OUT-04,Outdoor Dining Table,Value,,1,TBD,TBD,Sourcing,TBD,No,Yes,
PR-OUT-05,Outdoor Rug,Value,,1,TBD,TBD,Planned,TBD,No,No,
PR-OUT-06,Propane BBQ Grill,Value,,1,TBD,TBD,Sourcing,TBD,No,No,
PR-OUT-07,Patio Blinds / Shade,Value,,1,TBD,TBD,Planned,TBD,No,Yes,
PR-OUT-08,Outdoor Yard Games,Value,,1,TBD,TBD,Planned,TBD,No,No,
PR-OUT-09,Outdoor Storage Box,Value,,1,TBD,TBD,Planned,TBD,No,Yes,
PR-OUT-10,Potted Plant (1),Value,,1,TBD,TBD,Planned,TBD,No,No,
PR-OUT-11,Potted Plant (2),Value,,1,TBD,TBD,Planned,TBD,No,No,
PR-OUT-12,Potted Plant (3),Value,,1,TBD,TBD,Planned,TBD,No,No,
