asset_id,area_or_room,shot_name,shot_type,priority,approved_for_photos,captured,edited,platform_ready,owner,target_date,notes
PV-001,Front Entryway,Entry Approach Wide,Wide,High,No,No,No,No,Owner,2026-04-12,
PV-002,Front Entryway,Door and Welcome Detail,Detail,Medium,No,No,No,No,Owner,2026-04-12,
PV-003,Front Entryway,Sightline to Great Room,Wide,High,No,No,No,No,Owner,2026-04-12,
PV-004,Great Room,Hero Wide From Entry,Hero,High,No,No,No,No,Owner,2026-04-12,Primary listing candidate
PV-005,Great Room,Reverse Wide to Windows,Wide,High,No,No,No,No,Owner,2026-04-12,
PV-006,Great Room,Seating and TV Composition,Lifestyle,High,No,No,No,No,Owner,2026-04-12,
PV-007,Great Room,Coffee Table Texture Detail,Detail,Medium,No,No,No,No,Owner,2026-04-12,
PV-008,Kitchen and Dining,Kitchen Hero Wide,Hero,High,No,No,No,No,Owner,2026-04-12,
PV-009,Kitchen and Dining,Island and Bar Seating,Lifestyle,High,No,No,No,No,Owner,2026-04-12,
PV-010,Kitchen and Dining,Dining Table Styled,Lifestyle,Medium,No,No,No,No,Owner,2026-04-12,
PV-011,Kitchen and Dining,Coffee Station Detail,Detail,Medium,No,No,No,No,Owner,2026-04-12,
PV-012,Primary Bedroom,Primary Bedroom Hero,Hero,High,No,No,No,No,Owner,2026-04-12,Primary listing candidate
PV-013,Primary Bedroom,Reverse Room Wide,Wide,High,No,No,No,No,Owner,2026-04-12,
PV-014,Primary Bedroom,Nightstand Symmetry Detail,Detail,Medium,No,No,No,No,Owner,2026-04-12,
PV-015,Primary Bedroom,Closet Access Detail,Detail,Low,No,No,No,No,Owner,2026-04-12,
PV-016,Primary Bathroom,Vanity Wide,Wide,High,No,No,No,No,Owner,2026-04-12,
PV-017,Primary Bathroom,Shower Tub Angle,Wide,Medium,No,No,No,No,Owner,2026-04-12,
PV-018,Primary Bathroom,Counter Amenity Detail,Detail,Low,No,No,No,No,Owner,2026-04-12,
PV-019,Secondary Bedroom #1,Bed and Focal Art,Wide,High,No,No,No,No,Owner,2026-04-12,
PV-020,Secondary Bedroom #1,Reverse Angle,Wide,Medium,No,No,No,No,Owner,2026-04-12,
PV-021,Secondary Bedroom #1,Lighting Detail,Detail,Low,No,No,No,No,Owner,2026-04-12,
PV-022,Secondary Bedroom #2,Bed and Paired Art,Wide,High,No,No,No,No,Owner,2026-04-12,
PV-023,Secondary Bedroom #2,Reverse Angle,Wide,Medium,No,No,No,No,Owner,2026-04-12,
PV-024,Secondary Bedroom #2,Palette Detail,Detail,Low,No,No,No,No,Owner,2026-04-12,
PV-025,Second Bathroom,Vanity Shot,Wide,Medium,No,No,No,No,Owner,2026-04-12,
PV-026,Second Bathroom,Shower Tub Shot,Wide,Medium,No,No,No,No,Owner,2026-04-12,
PV-027,Second Bathroom,Amenity Detail,Detail,Low,No,No,No,No,Owner,2026-04-12,
PV-028,Den,Den Day Mode Work Setup,Hero,High,No,No,No,No,Owner,2026-04-12,Primary listing candidate
PV-029,Den,Den Night Mode Lounge,Hero,High,No,No,No,No,Owner,2026-04-12,
PV-030,Den,Sleeper Conversion Readiness,Lifestyle,Medium,No,No,No,No,Owner,2026-04-12,
PV-031,Den,Tech Convenience Detail,Detail,Low,No,No,No,No,Owner,2026-04-12,
PV-032,Covered Patio,Patio Daytime Wide,Wide,High,No,No,No,No,Owner,2026-04-12,
PV-033,Covered Patio,Patio Reverse Seating,Wide,Medium,No,No,No,No,Owner,2026-04-12,
PV-034,Covered Patio,Patio Twilight Hero,Hero,High,No,No,No,No,Owner,2026-04-12,Primary listing candidate
PV-035,Covered Patio,Fire Pit Social Detail,Detail,Medium,No,No,No,No,Owner,2026-04-12,
