item_id,item_name,tier,option_label,description,source_vendor,est_cost,qty,priority,is_selected,purchase_status,notes
BUD-001-PBTH-01,Towel Program (2 sets),budget,Option 1,White Classic set of 4,target,40,2,high,FALSE,pending,
BUD-001-PBTH-01,Towel Program (2 sets),value,Option 1,Quince Quick-Dry,quince,80,2,high,TRUE,pending,
BUD-001-PBTH-01,Towel Program (2 sets),premium,Option 1,Quince Ultra Plush,quince,120,2,high,FALSE,pending,
BUD-001-PBTH-02,Consumables + Dispenser,budget,Option 1,Public Goods Trio only,public_goods,60,1,high,FALSE,pending,
BUD-001-PBTH-02,Consumables + Dispenser,value,Option 1,Luxspire + Full PG Set,walmart,100,1,high,TRUE,pending,
BUD-001-PBTH-02,Consumables + Dispenser,premium,Option 1,Aesop Abundance Kit,aesop,155,1,high,FALSE,pending,
BUD-001-PBTH-03,Non-Slip Safety Mats (2),budget,Option 1,Pack of 2 tub mats,target,24,2,high,FALSE,pending,
BUD-001-PBTH-03,Non-Slip Safety Mats (2),value,Option 1,Tub + Floor Combo,target,45,2,high,TRUE,pending,
BUD-001-PBTH-03,Non-Slip Safety Mats (2),premium,Option 1,Luxe Non-skid system,amazon,100,2,high,FALSE,pending,
BUD-001-PBTH-04,Hair Dryer,budget,Option 1,Conair Ionic Cord-Keeper,walmart,22,1,high,FALSE,pending,
BUD-001-PBTH-04,Hair Dryer,value,Option 1,INFINITIPRO Quick Style,target,43,1,high,TRUE,pending,
BUD-001-PBTH-04,Hair Dryer,premium,Option 1,Shark SpeedStyle,best_buy,150,1,high,FALSE,pending,
BUD-001-PBTH-05,Vanity Organizer,budget,Option 1,Brightroom 9-slot,target,10,1,med,FALSE,pending,
BUD-001-PBTH-05,Vanity Organizer,value,Option 1,Brightroom Bamboo,target,25,1,med,TRUE,pending,
BUD-001-PBTH-05,Vanity Organizer,premium,Option 1,Stone tray + canister,west_elm,60,1,med,FALSE,pending,
BUD-001-PBTH-06,Shower Curtain + Liner,budget,Option 1,Room Essentials waffle,target,15,1,med,FALSE,pending,
BUD-001-PBTH-06,Shower Curtain + Liner,value,Option 1,Becky Cameron cotton,target,25,1,med,TRUE,pending,
BUD-001-PBTH-06,Shower Curtain + Liner,premium,Option 1,West Elm Luxe waffle,west_elm,60,1,med,FALSE,pending,
BUD-001-PBTH-07,Vanity Styling,budget,Option 1,Ribbed Glass Tray,target,20,1,low,FALSE,pending,
BUD-001-PBTH-07,Vanity Styling,value,Option 1,Marble Tray / Ensemble,target,50,1,low,TRUE,pending,
BUD-001-PBTH-08,Vanity Mirror (Existing),n_a,Option 1,Strategic Asset Verified,n_a,0,1,high,TRUE,installed,
BUD-001-PBTH-09,Bathroom Faux Plant,budget,Option 1,Small faux lane,target,15,1,low,FALSE,pending,
BUD-001-PBTH-09,Bathroom Faux Plant,value,Option 1,Faux eucalyptus,target,25,1,low,TRUE,pending,
BUD-001-PBTH-09,Bathroom Faux Plant,premium,Option 1,Designer Greenery,west_elm,50,1,low,FALSE,pending,
