item_id,item_name,tier,option_label,description,source_vendor,est_cost,qty,priority,is_selected,purchase_status,notes
BUD-001-OUT-01,Patio Seating Group,budget,Option 1,Aiho 5-piece patio set,walmart,190,1,high,FALSE,pending,
BUD-001-OUT-01,Patio Seating Group,value,Option 1,BOSMILLER 7-piece,target,600,1,high,TRUE,pending,
BUD-001-OUT-01,Patio Seating Group,premium,Option 1,Captiva 6-seat L-shape,target,1120,1,high,FALSE,pending,
BUD-001-OUT-02,Fire Feature,budget,Option 1,Mainstays 26in round pit,walmart,40,1,high,FALSE,pending,
BUD-001-OUT-02,Fire Feature,value,Option 1,Target Metal Lattice,target,100,1,high,TRUE,pending,
BUD-001-OUT-02,Fire Feature,premium,Option 1,Homall Propane Table,walmart,216,1,high,FALSE,pending,
BUD-001-OUT-03,String Lights (Pkg),budget,Option 1,Target 20ct LED globe,target,17,1,high,FALSE,pending,
BUD-001-OUT-03,String Lights (Pkg),value,Option 1,Brightech Ambience Pro,walmart,53,1,high,TRUE,pending,
BUD-001-OUT-03,String Lights (Pkg),premium,Option 1,Govee Smart String,best_buy,100,1,high,FALSE,pending,
BUD-001-OUT-04,Outdoor Dining Table,budget,Option 1,IKEA NAMMARO Table,ikea,170,1,med,FALSE,pending,
BUD-001-OUT-04,Outdoor Dining Table,value,Option 1,NAMMARO bench set,ikea,420,1,med,TRUE,sourcing,
BUD-001-OUT-04,Outdoor Dining Table,premium,Option 1,Full 6-chair set,ikea,650,1,med,FALSE,pending,
BUD-001-OUT-05,Outdoor Rug,budget,Option 1,Waterproof mat 8x10,target,60,1,med,FALSE,pending,
BUD-001-OUT-05,Outdoor Rug,value,Option 1,Nuloom Camryn,target,100,1,med,TRUE,pending,
BUD-001-OUT-05,Outdoor Rug,premium,Option 1,West Elm Outdoor,west_elm,200,1,med,FALSE,pending,
BUD-001-OUT-06,Propane BBQ Grill,budget,Option 1,4-burner gas grill,walmart,170,1,med,FALSE,sourcing,
BUD-001-OUT-06,Propane BBQ Grill,value,Option 1,Char-Broil Performance,walmart,297,1,med,TRUE,sourcing,
BUD-001-OUT-06,Propane BBQ Grill,premium,Option 1,Weber Premium segment,home_depot,500,1,med,FALSE,pending,
BUD-001-OUT-07,Patio Blinds / Shade,budget,Option 1,Solar Shade,target,80,1,med,FALSE,pending,
BUD-001-OUT-07,Patio Blinds / Shade,value,Option 1,Mid-tier Roller,target,110,1,med,TRUE,pending,
BUD-001-OUT-07,Patio Blinds / Shade,premium,Option 1,Motorized Exterior,home_depot,300,1,med,FALSE,pending,
BUD-001-OUT-08,Outdoor Yard Games,budget,Option 1,Used cornhole set,fb_marketplace,40,1,low,FALSE,pending,
BUD-001-OUT-08,Outdoor Yard Games,value,Option 1,Target bundle,target,45,1,low,TRUE,pending,
BUD-001-OUT-08,Outdoor Yard Games,premium,Option 1,Branded Wood Set,dicks_sporting_goods,150,1,low,FALSE,pending,
BUD-001-OUT-09,Outdoor Storage Box,budget,Option 1,Resin Box Small,walmart,100,1,low,FALSE,pending,
BUD-001-OUT-09,Outdoor Storage Box,value,Option 1,Lifetime 116-gal,target,220,1,low,TRUE,pending,
BUD-001-OUT-09,Outdoor Storage Box,premium,Option 1,150-gal Premium,costco,300,1,low,FALSE,pending,
BUD-001-OUT-10,Potted Plant (1),budget,Option 1,Nursery hardy mix,local,20,1,low,FALSE,pending,
BUD-001-OUT-10,Potted Plant (1),value,Option 1,Target Live/Faux mix,target,50,1,low,TRUE,pending,
BUD-001-OUT-10,Potted Plant (1),premium,Option 1,Luxe Planter + Green,west_elm,100,1,low,FALSE,pending,
BUD-001-OUT-11,Potted Plant (2),budget,Option 1,Nursery hardy mix,local,20,1,low,FALSE,pending,
BUD-001-OUT-11,Potted Plant (2),value,Option 1,Target Live/Faux mix,target,50,1,low,TRUE,pending,
BUD-001-OUT-11,Potted Plant (2),premium,Option 1,Luxe Planter + Green,west_elm,100,1,low,FALSE,pending,
BUD-001-OUT-12,Potted Plant (3),budget,Option 1,Nursery hardy mix,local,20,1,low,FALSE,pending,
BUD-001-OUT-12,Potted Plant (3),value,Option 1,Target Live/Faux mix,target,50,1,low,TRUE,pending,
BUD-001-OUT-12,Potted Plant (3),premium,Option 1,Luxe Planter + Green,west_elm,100,1,low,FALSE,pending,
