item_id,item_name,tier,option_label,description,source_vendor,est_cost,qty,priority,is_selected,purchase_status,notes
BUD-001-DEN-01,Queen Sofa Bed,budget,Option 1,Marketplace sleeper,fb_marketplace,475,1,high,FALSE,sourcing,$250-$700 range
BUD-001-DEN-01,Queen Sofa Bed,budget,Option 2,OfferUp sleeper,offerup,475,1,high,FALSE,sourcing,$250-$700 range
BUD-001-DEN-01,Queen Sofa Bed,value,Option 1,Lark Manor memory-foam,wayfair,680,1,high,TRUE,pending,
BUD-001-DEN-01,Queen Sofa Bed,value,Option 2,IKEA sleeper segment,ikea,1000,1,high,FALSE,pending,$700-$1300 range
BUD-001-DEN-01,Queen Sofa Bed,premium,Option 1,Article sleeper,article,1600,1,high,FALSE,pending,$1200-$2000 range
BUD-001-DEN-01,Queen Sofa Bed,premium,Option 2,West Elm sleeper,west_elm,1900,1,high,FALSE,pending,$1400-$2400 range
BUD-001-DEN-02,50in 4K Smart TV,budget,Option 1,Roku Select Series,roku,175,1,high,FALSE,pending,
BUD-001-DEN-02,50in 4K Smart TV,budget,Option 2,Hisense 50R6,walmart,214,1,high,FALSE,pending,
BUD-001-DEN-02,50in 4K Smart TV,value,Option 1,Roku Select New Variant,roku,258,1,high,TRUE,pending,
BUD-001-DEN-02,50in 4K Smart TV,value,Option 2,Costco value,costco,300,1,high,FALSE,pending,
BUD-001-DEN-02,50in 4K Smart TV,premium,Option 1,Samsung QLED,best_buy,475,1,high,FALSE,pending,$350-$600 range
BUD-001-DEN-02,50in 4K Smart TV,premium,Option 2,Sony/LG,best_buy,435,1,high,FALSE,pending,$320-$550 range
BUD-001-DEN-03,8x10 High-Pile Rug,budget,Option 1,IKEA large rug budget,ikea,170,1,high,FALSE,pending,$120-$220 range
BUD-001-DEN-03,8x10 High-Pile Rug,budget,Option 2,Target/Walmart plush,target,160,1,high,FALSE,pending,$100-$220 range
BUD-001-DEN-03,8x10 High-Pile Rug,value,Option 1,IKEA VOLLERSLEV,ikea,250,1,high,TRUE,pending,
BUD-001-DEN-03,8x10 High-Pile Rug,value,Option 2,Rugs.com 8x10 lane,rugs_dot_com,275,1,high,FALSE,pending,$200-$350 range
BUD-001-DEN-03,8x10 High-Pile Rug,premium,Option 1,Ruggable 8x10 segment,ruggable,475,1,high,FALSE,pending,$350-$600 range
BUD-001-DEN-03,8x10 High-Pile Rug,premium,Option 2,West Elm premium,west_elm,550,1,high,FALSE,pending,$400-$700 range
BUD-001-DEN-04,Desk (Approx 48in),budget,Option 1,Marketplace used,fb_marketplace,80,1,med,FALSE,sourcing,$40-$120 range
BUD-001-DEN-04,Desk (Approx 48in),budget,Option 2,JIONJOY 48in,amazon,66,1,med,FALSE,pending,
BUD-001-DEN-04,Desk (Approx 48in),value,Option 1,Target Writing Desk,target,120,1,med,TRUE,pending,
BUD-001-DEN-04,Desk (Approx 48in),value,Option 2,IKEA desk segment,ikea,160,1,med,FALSE,pending,$100-$220 range
BUD-001-DEN-04,Desk (Approx 48in),premium,Option 1,Article/West Elm desk,article,360,1,med,FALSE,pending,$220-$500 range
BUD-001-DEN-05,Ergonomic Task Chair,budget,Option 1,Yaheetech mesh,amazon,60,1,med,FALSE,pending,
BUD-001-DEN-05,Ergonomic Task Chair,budget,Option 2,Generic Walmart,walmart,85,1,med,FALSE,pending,$60-$110 range
BUD-001-DEN-05,Ergonomic Task Chair,value,Option 1,Karl Home upholstered,amazon,83,1,med,TRUE,pending,
BUD-001-DEN-05,Ergonomic Task Chair,value,Option 2,Target upholstered,target,140,1,med,FALSE,pending,$100-$180 range
BUD-001-DEN-05,Ergonomic Task Chair,premium,Option 1,Branch Ergonomic,branch,250,1,med,FALSE,pending,
BUD-001-DEN-06,Small Coffee Table,budget,Option 1,Local small round,fb_marketplace,55,1,med,FALSE,sourcing,$30-$80 range
BUD-001-DEN-06,Small Coffee Table,budget,Option 2,Walmart round,walmart,45,1,med,FALSE,pending,
BUD-001-DEN-06,Small Coffee Table,value,Option 1,Target Castalia Round,target,150,1,med,TRUE,pending,
BUD-001-DEN-06,Small Coffee Table,value,Option 2,Hearth & Hand,target,150,1,med,FALSE,pending,
BUD-001-DEN-06,Small Coffee Table,premium,Option 1,Designer stone/oak,west_elm,290,1,med,FALSE,pending,$180-$400 range
BUD-001-DEN-07,Gaming Cabinet,budget,Option 1,Marketplace media cab,fb_marketplace,80,1,med,FALSE,sourcing,$40-$120 range
BUD-001-DEN-07,Gaming Cabinet,value,Option 1,IKEA BESTA Compact,ikea,120,1,med,TRUE,pending,
BUD-001-DEN-07,Gaming Cabinet,value,Option 2,IKEA TV benches,ikea,175,1,med,FALSE,pending,$100-$250 range
BUD-001-DEN-07,Gaming Cabinet,premium,Option 1,West Elm/CB2 cabinet,west_elm,425,1,med,FALSE,pending,$250-$600 range
