Item_ID,Item_Name,Tier,Description,Qty,Est_Cost,Actual_Cost,Status,Condition,Measurements_Verified,Assembly_Required,Notes
PR-003,Solid Wood King Frame,Value,,1,TBD,TBD,Sourcing,TBD,No,Yes,Lead active
PR-004,King Mattress,Value,,1,TBD,TBD,Planned,TBD,No,No,Compare Hybrid options
PR-PRIM-03,55in 4K Smart TV,Value,,1,TBD,TBD,Planned,TBD,No,No,
PR-PRIM-04,Solid Wood Dresser,Value,,1,TBD,TBD,Planned,TBD,No,No,
PR-PRIM-05,Accent Chairs,Value,,1,TBD,TBD,Planned,TBD,No,Yes,
PR-PRIM-06,Nightstands,Value,,2,TBD,TBD,Planned,TBD,No,Yes,
PR-PRIM-07,Hospitality Linens (Set 1),Value,,1,TBD,TBD,Planned,TBD,No,No,
PR-PRIM-08,Hospitality Linens (Set 2),Value,,1,TBD,TBD,Planned,TBD,No,No,
PR-PRIM-09,USB/Lamp System,Value,,1,TBD,TBD,Planned,TBD,No,No,
PR-PRIM-10,Blackout Curtains,Value,,1,TBD,TBD,Planned,TBD,No,No,
PR-PRIM-11,Area Rug (8x10),Value,,1,TBD,TBD,Planned,TBD,No,No,
PR-PRIM-12,Full-Length Mirror,Value,,1,TBD,TBD,Planned,TBD,No,No,
PR-PRIM-13,Luggage Rack (1),Value,,1,TBD,TBD,Planned,TBD,No,No,
PR-PRIM-14,Luggage Rack (2),Value,,1,TBD,TBD,Planned,TBD,No,No,
PR-PRIM-15,Pillows (Set),Value,,1,TBD,TBD,Planned,TBD,No,No,
PR-PRIM-16,Duvet Insert,Value,,1,TBD,TBD,Planned,TBD,No,No,
PR-PRIM-17,Decorative Throw,Value,,1,TBD,TBD,Planned,TBD,No,No,
