Item_ID,Item_Name,Tier,Description,Qty,Est_Cost,Actual_Cost,Status,Condition,Measurements_Verified,Assembly_Required,Notes
PR-001,L-Sectional Sofa,Value,,1,TBD,TBD,Sourcing,TBD,No,Yes,Negotiating pickup
PR-006,Area Rug (10x14),Value,,1,TBD,UNKNOWN,Delivered,Used,No,No,Self-transport from Estate Sale
PR-GRT-02,65in 4K Smart TV,Value,,1,TBD,TBD,Planned,TBD,No,No,
PR-GRT-04,Media Console (80in),Value,,1,TBD,TBD,Planned,TBD,No,Yes,
PR-GRT-05,Circular Coffee Table,Value,,1,TBD,TBD,Planned,TBD,No,Yes,
PR-GRT-06,Swivel Accent Chairs,Value,,2,TBD,TBD,Planned,TBD,No,Yes,
PR-GRT-07,Arched Floor Lamp,Value,,1,TBD,TBD,Planned,TBD,No,Yes,
PR-GRT-08,Smart Soundbar,Value,,1,TBD,TBD,Planned,TBD,No,No,
PR-GRT-09,Decorative Pillows + Throw,Value,,1,TBD,TBD,Planned,TBD,No,No,
PR-GRT-10,Wall Art Package,Value,,1,TBD,TBD,Planned,TBD,No,No,
PR-GRT-11,Bookshelf / Display,Value,,1,TBD,TBD,Planned,TBD,No,Yes,
PR-GRT-12,Indoor Plants (Large),Value,,1,TBD,TBD,Planned,TBD,No,No,
PR-GRT-13,Indoor Plants (Small),Value,,1,TBD,TBD,Planned,TBD,No,No,
