item_id,item_name,tier,option_label,description,source_vendor,est_cost,qty,priority,is_selected,purchase_status,notes
BUD-001-BED2-01,Bunk Bed (Twin/Full),budget,Option 1,Amolife Metal Bunk,walmart,200,1,high,FALSE,pending,
BUD-001-BED2-01,Bunk Bed (Twin/Full),budget,Option 2,Amazon Entry Metal,amazon,230,1,high,FALSE,pending,$180-$280 range
BUD-001-BED2-01,Bunk Bed (Twin/Full),value,Option 1,Harriet Bee Solid Wood,wayfair,350,1,high,TRUE,pending,$284-$420 range
BUD-001-BED2-01,Bunk Bed (Twin/Full),value,Option 2,Costway Wood,amazon,320,1,high,FALSE,pending,
BUD-001-BED2-01,Bunk Bed (Twin/Full),premium,Option 1,Camaflexi Mission Wood,amazon,855,1,high,FALSE,pending,
BUD-001-BED2-01,Bunk Bed (Twin/Full),premium,Option 2,Maxtrix Solid Wood,maxtrix,800,1,high,FALSE,pending,$700+ range
BUD-001-BED2-02,Full Mattress,budget,Option 1,Fuxilai 12in Hybrid,walmart,135,1,high,FALSE,pending,
BUD-001-BED2-02,Full Mattress,budget,Option 2,Kescas 10in Hybrid,amazon,180,1,high,FALSE,pending,
BUD-001-BED2-02,Full Mattress,value,Option 1,Vantto 12in Deluxe,amazon,196,1,high,TRUE,pending,
BUD-001-BED2-02,Full Mattress,value,Option 2,IKEA Full segment,ikea,250,1,high,FALSE,pending,$200-$300 range
BUD-001-BED2-02,Full Mattress,premium,Option 1,Nectar Classic Full,nectar,375,1,high,FALSE,pending,$300-$450 range
BUD-001-BED2-02,Full Mattress,premium,Option 2,DreamCloud segment,dreamcloud,425,1,high,FALSE,pending,$350-$500 range
BUD-001-BED2-03,Twin Mattress,budget,Option 1,10in Pocket-spring,walmart,110,1,high,FALSE,pending,
BUD-001-BED2-03,Twin Mattress,budget,Option 2,GUUKIN 12in Hybrid,amazon,112,1,high,FALSE,pending,
BUD-001-BED2-03,Twin Mattress,value,Option 1,Target mid-tier,target,180,1,high,TRUE,pending,$140-$220 range
BUD-001-BED2-03,Twin Mattress,value,Option 2,IKEA Twin segment,ikea,185,1,high,FALSE,pending,$140-$230 range
BUD-001-BED2-03,Twin Mattress,premium,Option 1,Nectar Twin,nectar,290,1,high,FALSE,pending,$230-$350 range
BUD-001-BED2-03,Twin Mattress,premium,Option 2,DreamCloud segment,dreamcloud,300,1,high,FALSE,pending,$250-$360 range
BUD-001-BED2-04,43in 4K Smart TV,budget,Option 1,Toshiba C350 Fire TV,best_buy,160,1,high,FALSE,pending,
BUD-001-BED2-04,43in 4K Smart TV,budget,Option 2,Hisense R6 Roku,walmart,195,1,high,FALSE,pending,
BUD-001-BED2-04,43in 4K Smart TV,value,Option 1,Roku Select Series,roku,290,1,high,TRUE,pending,$250-$330 range
BUD-001-BED2-04,43in 4K Smart TV,value,Option 2,Westinghouse 4K Roku,best_buy,225,1,high,FALSE,pending,
BUD-001-BED2-04,43in 4K Smart TV,premium,Option 1,Samsung/LG 43in,best_buy,360,1,high,FALSE,pending,$300-$420 range
BUD-001-BED2-04,43in 4K Smart TV,premium,Option 2,Sony 43in,best_buy,350,1,high,FALSE,pending,
BUD-001-BED2-05,Solid Wood Dresser,budget,Option 1,Marketplace Solid Wood,fb_marketplace,130,1,med,FALSE,sourcing,$90-$170 range
BUD-001-BED2-05,Solid Wood Dresser,budget,Option 2,ReStore/Thrift,restore,115,1,med,FALSE,sourcing,$75-$160 range
BUD-001-BED2-05,Solid Wood Dresser,value,Option 1,IKEA KILBERGET,ikea,200,1,med,TRUE,pending,
BUD-001-BED2-05,Solid Wood Dresser,value,Option 2,IKEA TARVA,ikea,250,1,med,FALSE,pending,
BUD-001-BED2-05,Solid Wood Dresser,premium,Option 1,IKEA VIHALS 6-drawer,ikea,350,1,med,FALSE,pending,$250-$450 range
BUD-001-BED2-06,Nightstand,budget,Option 1,Local wood nightstand,fb_marketplace,35,1,med,FALSE,sourcing,$25-$50 range
BUD-001-BED2-06,Nightstand,budget,Option 2,Target Room Essentials,target,45,1,med,FALSE,pending,$30-$60 range
BUD-001-BED2-06,Nightstand,value,Option 1,IKEA STORKLINTA 1-drawer,ikea,60,1,med,TRUE,pending,
BUD-001-BED2-06,Nightstand,value,Option 2,STORKLINTA 2-drawer,ikea,80,1,med,FALSE,pending,
BUD-001-BED2-06,Nightstand,premium,Option 1,IKEA TARVA solid wood,ikea,80,1,med,FALSE,pending,
BUD-001-BED2-07,Hospitality Linens (Set 1),budget,Option 1,Quince Organic Percale,quince,60,1,high,FALSE,pending,
BUD-001-BED2-07,Hospitality Linens (Set 1),budget,Option 2,Target Threshold,target,65,1,high,FALSE,pending,$50-$80 range
BUD-001-BED2-07,Hospitality Linens (Set 1),value,Option 1,Costco Hotel Signature,costco,90,1,high,TRUE,pending,
BUD-001-BED2-07,Hospitality Linens (Set 1),premium,Option 1,Brooklinen / Parachute,brooklinen,180,1,high,FALSE,pending,$140-$220 range
BUD-001-BED2-08,Hospitality Linens (Set 2),budget,Option 1,Quince Organic Percale,quince,60,1,high,FALSE,pending,
BUD-001-BED2-08,Hospitality Linens (Set 2),budget,Option 2,Target Threshold,target,65,1,high,FALSE,pending,$50-$80 range
