pr_id,room,lighting_check,cleanliness_check,staging_check,safety_check,approved_for_photos,verified_by,verification_date,evidence_path,notes
PR-001,Front Entryway,No,No,No,No,No,Visual Lead,2026-04-05,,Awaiting execution evidence
PR-002,Great Room,No,No,No,No,No,Visual Lead,2026-04-05,,Awaiting execution evidence
PR-003,Kitchen and Dining,No,No,No,No,No,Visual Lead,2026-04-05,,Awaiting execution evidence
PR-004,Primary Bedroom,No,No,No,No,No,Visual Lead,2026-04-05,,Awaiting execution evidence
PR-005,Primary Bathroom,No,No,No,No,No,Visual Lead,2026-04-05,,Awaiting execution evidence
PR-006,Secondary Bedroom #1,No,No,No,No,No,Visual Lead,2026-04-05,,Awaiting execution evidence
PR-007,Secondary Bedroom #2,No,No,No,No,No,Visual Lead,2026-04-05,,Awaiting execution evidence
PR-008,Second Bathroom,No,No,No,No,No,Visual Lead,2026-04-05,,Awaiting execution evidence
PR-009,Den,No,No,No,No,No,Visual Lead,2026-04-05,,Awaiting execution evidence
PR-010,Covered Patio,No,No,No,No,No,Visual Lead,2026-04-05,,Awaiting execution evidence
